"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"....Southern Leyte 2/, 3/, c/";25756;28799;31449;23.7;21.5;11.9;8.3;8.1;11.9;2.0;1.7;1.4;20;18;9;28;25;15
"....Samar";23131;25259;29039;29.2;33.9;32.3;8.5;6.9;6.9;2.5;2.3;2.2;24;29;28;34;38;37
"..Region IX (Zamboanga Peninsula)";25650;28739;33353;32.7;30.1;31.7;3.9;4.0;4.0;1.3;1.2;1.3;30;28;29;35;32;34
"....Zamboanga del Norte";28523;33799;37169;45.4;50.8;47.6;6.5;5.3;6.1;3.0;2.7;2.9;40;46;42;51;56;53
"....Zamboanga del Sur 1/, 2/";23977;24066;32008;23.7;18.3;26.7;7.0;8.3;6.2;1.7;1.5;1.7;20;15;24;27;21;30
"....Zamboanga Sibugay 2/, 3/";23054;24708;26557;35.4;34.0;24.2;7.4;7.1;7.5;2.6;2.4;1.8;30;29;21;41;39;28
"....Isabela City 1/, 3/, b/, c/";25870;23925;29770;51.0;17.3;16.0;7.3;14.0;17.7;3.7;2.4;2.8;44;13;11;58;22;22
"..Region X (Northern Mindanao) 1/";24835;28836;33513;23.1;26.1;25.3;3.7;4.1;3.8;0.8;1.1;1.0;21;24;23;25;28;27
"....Bukidnon";25624;29040;32992;27.6;29.2;27.0;7.1;8.5;8.2;2.0;2.5;2.2;24;24;23;31;34;31
"....Camiguin 2/, 3/, c/";26042;28514;32275;24.3;20.6;14.5;9.5;9.6;13.7;2.3;2.0;2.0;20;17;11;29;25;18
"....Lanao del Norte 1/, 3/";24450;28589;32899;25.8;34.3;33.4;6.3;6.5;6.6;1.6;2.2;2.2;23;30;29;29;39;38
"....Misamis Occidental";24505;30062;34598;26.8;24.7;30.2;8.3;9.5;6.2;2.2;2.3;1.9;22;20;27;31;29;34
"....Misamis Oriental";24118;28270;34368;15.8;18.7;17.3;7.3;7.0;6.6;1.2;1.3;1.1;14;16;15;18;21;20
"..Region XI (Davao Region) 3/";25953;28102;31521;19.1;16.8;16.0;4.8;4.5;7.9;0.9;0.8;1.3;17;15;14;21;18;19
"....Davao del Norte a/, b/, c/";27034;27354;31286;13.4;10.6;11.1;12.3;14.7;15.6;1.7;1.6;1.7;10;8;8;17;14;15
"....Davao del Sur a/, b/, c/";25807;29749;31331;11.8;10.4;12.8;13.7;10.3;19.1;1.6;1.1;2.5;9;8;8;15;13;18
"....Davao Oriental 1/, 2/";26347;27806;33617;37.7;30.4;38.9;6.2;7.7;5.7;2.3;2.3;2.2;33;26;35;42;35;43
"....Davao de Oro 2/, 3/, c/";25867;26161;29573;25.2;23.9;10.2;8.1;8.8;13.7;2.0;2.1;1.4;21;20;7;29;28;13
"....Davao Occidental 2/, 3/, c/";25356;28511;28905;40.8;43.4;27.9;6.3;6.6;10.7;2.6;2.9;3.0;36;38;22;46;49;34
"..Region XII (SOCCSKSARGEN) 2/, 3/, 4/";25023;26443;29379;27.3;27.3;23.1;4.8;4.8;6.0;1.3;1.3;1.4;25;25;20;30;30;26
"....Cotabato c/";25020;27473;31276;29.2;31.8;23.9;9.7;9.2;12.8;2.8;2.9;3.1;24;26;18;35;38;30
"....Sarangani 2/, 3/";23282;24070;27755;41.9;41.1;30.7;8.3;6.7;9.6;3.5;2.7;2.9;35;36;25;49;47;37
"....South Cotabato a/, c/";25240;24455;28236;18.0;16.7;14.1;10.1;9.3;11.2;1.8;1.6;1.6;15;14;11;22;20;17
"....Sultan Kudarat c/";23775;25295;29215;31.5;30.2;34.3;8.3;9.3;10.0;2.6;2.8;3.4;26;25;28;37;36;41
"..Region XIII (Caraga) 2/, 3/";25375;27335;29565;30.5;33.2;20.8;3.3;3.4;4.5;1.0;1.1;0.9;29;31;19;33;35;23
"....Agusan del Norte 1/, 2/, 3/";23775;27722;29266;24.4;30.8;19.7;6.1;4.9;7.3;1.5;1.5;1.4;21;28;17;27;34;23
"....Agusan del Sur 2/";24655;27821;29210;37.9;41.3;32.2;6.4;6.0;8.1;2.4;2.5;2.6;33;36;27;43;46;37
"....Surigao del Norte 2/, 3/, b/, c/";28293;26444;29865;34.4;27.6;10.0;6.0;11.1;12.4;2.1;3.1;1.2;30;22;8;38;34;12
"....Surigao del Sur 2/, 3/, c/";24873;26441;28997;25.4;31.2;16.2;8.3;7.4;11.1;2.1;2.3;1.8;21;27;13;30;36;20
"....Dinagat Islands a/";26409;28907;33989;32.8;33.3;29.4;10.1;9.6;7.9;3.3;3.2;2.3;26;27;25;39;40;34
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) r1, 1/, 3/, 5/";27715;27234;30922;60.4;35.4;32.4;2.3;3.5;3.1;1.4;1.2;1.0;58;33;30;63;38;34
"....Basilan 1/, 3/";26951;26728;31577;73.5;53.5;46.2;3.0;5.3;5.5;2.2;2.8;2.5;69;48;41;78;59;51
"....Lanao del Sur 1/, 2/, 3/";29224;29083;33513;71.2;10.9;17.9;3.0;9.8;9.8;2.2;1.1;1.7;67;9;14;75;13;21
"....Maguindanao 1/";25368;25371;27965;48.5;38.0;42.0;6.9;7.8;4.4;3.3;3.0;1.9;42;32;38;55;44;46
"......Maguindanao del Norte";..;..;28024;..;..;40.3;..;..;5.9;..;..;2.4;..;..;36;..;..;45
"......Maguindanao del Sur";..;..;27919;..;..;43.3;..;..;6.3;..;..;2.7;..;..;38;..;..;49
"....Sulu r1, 1/, 2/, 3/, c/";29150;29195;31380;82.5;52.9;20.7;1.9;5.2;11.0;1.6;2.8;2.3;79;48;16;86;58;25
"....Tawi-tawi 1/, 3/";21264;26336;38572;22.2;36.5;41.8;7.8;8.5;8.3;1.7;3.1;3.5;19;30;35;26;43;49
"....Cotabato City";30349;33890;38572;35.2;31.3;33.3;6.8;8.2;8.6;2.4;2.6;2.9;31;26;28;40;36;39
