"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence Among Families (%) 2018";"Poverty Incidence Among Families (%) 2021";"Poverty Incidence Among Families (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"....Davao Occidental";25356;28511;28905;31.9;34.5;19.8;6.8;7.2;11.9;2.2;2.5;2.4;28;30;15;36;39;24
"..Region XII (SOCCSKSARGEN)";25023;26443;29379;21.6;20.9;17.0;5.2;5.0;6.5;1.1;1.0;1.1;19;19;15;24;23;19
"....Cotabato";25020;27473;31276;23.6;23.6;18.0;10.6;9.8;13.8;2.5;2.3;2.5;19;19;13;29;28;23
"....Sarangani";23282;24070;27755;36.1;33.5;23.1;9.0;7.2;10.7;3.3;2.4;2.5;30;29;18;43;38;28
"....South Cotabato";25240;24455;28236;13.7;12.8;10.1;10.9;9.4;12.3;1.5;1.2;1.2;11;10;8;17;15;13
"....Sultan Kudarat";23775;25295;29215;24.3;23.8;26.4;8.2;10.1;10.6;2.0;2.4;2.8;20;19;21;28;29;32
"..Region XIII (Caraga)";25375;27335;29565;24.1;25.9;14.9;3.5;3.5;4.9;0.8;0.9;0.7;23;24;13;26;28;16
"....Agusan del Norte";23775;27722;29266;18.9;23.5;14.7;6.2;5.3;7.8;1.2;1.2;1.1;17;21;13;21;26;17
"....Agusan del Sur";24655;27821;29210;30.6;33.4;23.4;7.1;6.4;8.9;2.2;2.1;2.1;26;29;19;35;38;28
"....Surigao del Norte";28293;26444;29865;27.7;21.2;6.8;6.5;11.2;12.9;1.8;2.4;0.9;24;17;5;31;26;9
"....Surigao del Sur";24873;26441;28997;19.2;24.0;10.3;9.0;7.8;11.9;1.7;1.9;1.2;16;20;8;23;28;13
"....Dinagat Islands";26409;28907;33989;26.5;26.1;23.1;10.2;10.2;8.4;2.7;2.7;1.9;21;21;19;32;31;27
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";27715;27234;30922;52.6;28.0;23.5;2.5;3.8;3.6;1.3;1.1;0.8;50;26;22;55;30;25
"....Basilan";26951;26728;31577;66.3;42.5;33.7;3.4;6.3;6.5;2.2;2.7;2.2;62;37;29;71;48;38
"....Lanao del Sur";29224;29083;33513;64.2;7.4;12.1;3.7;11.2;10.3;2.4;0.8;1.2;60;6;10;69;9;15
"....Maguindanao";25368;25371;27965;40.6;29.8;30.4;7.4;8.3;5.3;3.0;2.5;1.6;35;25;27;47;35;34
"......Maguindanao del Norte";..;..;28024;..;..;28.4;..;..;6.7;..;..;1.9;..;..;25;..;..;32
"......Maguindanao del Sur";..;..;27919;..;..;32.1;..;..;7.8;..;..;2.5;..;..;27;..;..;37
"....Sulu";29150;29195;30407;75.3;41.5;13.0;2.5;6.7;12.2;1.9;2.8;1.6;72;36;10;79;47;16
"....Tawi-tawi";21264;26336;31380;15.1;28.1;32.3;9.0;10.5;9.7;1.4;2.9;3.1;12;22;26;18;34;38
"....Cotabato City";30349;33890;38572;35.2;31.3;33.3;6.8;8.2;8.6;2.4;2.6;2.9;31;26;28;40;36;39
