"Table 12. Severity of Poverty with Measures of Precision, by Region and Province:  2018, 2021, and 2023"

"Geolocation";"Estimate (%) 2018";"Estimate (%) 2021";"Estimate (%) 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"....Agusan del Norte 1/, 2/, 3/";1.4;2.1;1.0;0.1;0.2;0.1;1.2;1.8;0.8;1.7;2.4;1.2
"....Agusan del Sur 2/, 3/";2.4;2.9;1.6;0.3;0.3;0.2;1.8;2.4;1.2;3.0;3.5;2.0
"....Surigao del Norte 2/, 3/";2.1;1.6;0.3;0.2;0.3;0.1;1.6;1.1;0.2;2.5;2.2;0.4
"....Surigao del Sur 2/, 3/";1.3;1.8;0.5;0.2;0.3;0.1;1.0;1.3;0.3;1.7;2.3;0.6
"....Dinagat Islands";1.8;2.0;1.7;0.3;0.4;0.2;1.2;1.2;1.3;2.4;2.7;2.2
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) r2, 1/, 2/, 3/, 5/";5.4;2.1;1.4;0.2;0.1;0.1;4.9;1.8;1.2;5.9;2.3;1.6
"....Basilan 1/, 2/, 3/";8.1;4.1;1.9;0.6;0.5;0.2;7.0;3.2;1.5;9.2;4.9;2.3
"....Lanao del Sur 1/, 2/, 3/";7.8;0.1;0.3;0.6;0.0;0.1;6.6;0.1;0.2;8.9;0.2;0.4
"....Maguindanao 1/, 3/";3.7;2.1;1.9;0.5;0.3;0.2;2.8;1.5;1.5;4.6;2.6;2.2
"......Maguindanao del Norte";..;..;1.7;..;..;0.2;..;..;1.4;..;..;2.0
"......Maguindanao del Sur";..;..;2.0;..;..;0.3;..;..;1.4;..;..;2.6
"....Sulu r1, 1/, 2/, 3/";7.4;3.3;0.5;0.4;0.4;0.1;6.6;2.4;0.3;8.1;4.1;0.8
"....Tawi-tawi 1/, 3/";0.6;1.9;2.4;0.1;0.3;0.4;0.4;1.3;1.7;0.8;2.4;3.1
"....Cotabato City";2.6;2.6;2.2;0.3;0.3;0.3;2.0;2.0;1.6;3.2;3.2;2.8
